portid,ISO3,continent,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,disaster_indicator,resilience_cluster,portname,impact_score,cargo_redistributed,available_capacity,cargo_received
port314,USA,North America,33.91490744,-118.4019797,201,0,0,0,0,201,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",1.93,0.06,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4742.2803862666,0.0,4742.2803862666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,EL Segundo,0,,0.0,0.0
port315,ZAF,Africa,-33.02810636,27.90088104,245,42,6,22,76,97,Mineral Products,Metals,Prepared Foodstuffs & Beverages,1.83,0.19,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,East London,0,,245.0,245.0
port316,NLD,Europe,53.44141225,6.841979621,520,44,88,360,1,25,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,1.03,0.36,0.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,46096.3775754332,806.880082908356,0.0,0.0,46903.2576583415,46903.2576583415,0.0,840.216300044658,36.0407843498642,0.0,0.0,876.257084394522,876.257084394522,0,1,Eemshaven,0,,0.0,0.0
port317,ESP,Europe,39.95923639,0.008932348,1033,273,150,319,0,290,Mineral Products,Prepared Foodstuffs & Beverages,Metals,3.45,2.32,0.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,48758.3815497273,0.0,0.0,0.0,48758.3815497273,48758.3815497273,0.0,0.0,2334.95237566284,0.0,0.0,2334.95237566284,2334.95237566284,0,1,Castellon,0,,0.0,0.0
port318,VEN,South America,10.87732409,-64.02942039,70,0,12,0,0,58,Mineral Products,Chemical & Allied Industries,Vegetable Products,7.47,1.16,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1695.68854172958,0.0,1695.68854172958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,El Guamache,0,,0.0,0.0
port319,MAR,Africa,33.11351891,-8.609401598,1338,39,605,358,0,334,Mineral Products,Vegetable Products,Chemical & Allied Industries,26.27,23.53,1.0,12.0,2.0,0.0,1.0,15.0,16.0,355.827871449193,49903.0807163132,0.0,0.0,0.0,50258.9085877624,50258.9085877624,0.0,145200.461749003,13781.9349022647,0.0,0.0,158982.396651268,158982.396651268,0,1,Jorf Lasfar,0,,0.0,0.0
port32,DZA,Africa,36.76668624,3.06628765,899,364,96,227,1,209,Vegetable Products,Mineral Products,Wood & Wood Products,21.18,0.99,4.0,1.0,0.0,0.0,1.0,5.0,6.0,16807.2889310269,4412.64937337066,0.0,0.0,3245.70807417078,21219.9383043975,24465.6463785683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Alger,0,,0.0,0.0
port320,VEN,South America,10.48339577,-68.13572968,134,0,9,0,0,124,Mineral Products,Chemical & Allied Industries,Vegetable Products,11.81,4.54,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2695.99145694651,0.0,2695.99145694651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,El Palito,0,,0.0,0.0
port321,EGY,Africa,29.90416291,32.46211563,490,38,98,187,0,166,Mineral Products,Chemical & Allied Industries,Vegetable Products,3.31,5.17,1.0,4.0,3.0,0.0,3.0,8.0,11.0,3482.80771060553,3329.74746509879,2333.71041597642,0.0,11670.1534520816,9146.26559168074,20816.4190437623,0.0,64924.2622319672,9453.80416087372,0.0,0.0,74378.0663928409,74378.0663928409,0,1,Al Adabiyah,0,,0.0,0.0
port322,GRC,Europe,38.04219308,23.53340774,1511,10,63,425,1,1010,Mineral Products,Metals,Chemical & Allied Industries,4.01,10.26,0.0,1.0,4.0,0.0,8.0,5.0,13.0,0.0,0.0,3773.36040964101,0.0,2387.61333469024,3773.36040964101,6160.97374433124,0.0,8107.35164442388,81.1957236416691,0.0,0.0,8188.54736806555,8188.54736806555,0,1,Eleusis,0,,0.0,0.0
